iter	Passed	Remaining
0	1	99
1	1	95
2	2	95
3	3	89
4	4	88
5	5	86
6	6	85
7	7	86
8	8	86
9	9	84
10	10	83
11	11	83
12	12	82
13	13	82
14	14	81
15	15	80
16	16	78
17	16	77
18	18	77
19	19	76
20	20	75
21	21	75
22	22	73
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	28	68
29	29	67
30	30	67
31	31	66
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	60
38	38	59
39	39	59
40	40	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	46
53	52	45
54	53	43
55	54	42
56	55	42
57	56	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	100	2
98	101	1
99	102	0
