iter	Passed	Remaining
0	130	130662
1	132	66024
2	133	44493
3	135	33701
4	137	27300
5	139	23111
6	141	20019
7	142	17674
8	144	15865
9	145	14412
10	146	13200
11	148	12215
12	150	11419
13	152	10715
14	154	10117
15	155	9574
16	157	9081
17	158	8645
18	159	8256
19	160	7886
20	162	7559
21	163	7266
22	164	7003
23	165	6748
24	166	6504
25	167	6292
26	168	6086
27	169	5891
28	170	5709
29	171	5540
30	172	5379
31	173	5233
32	173	5093
33	175	4973
34	175	4852
35	176	4735
36	178	4633
37	178	4528
38	179	4428
39	180	4330
40	181	4239
41	181	4151
42	182	4069
43	183	3992
44	184	3920
45	185	3848
46	186	3776
47	187	3710
48	187	3646
49	188	3584
50	189	3534
51	191	3487
52	192	3439
53	193	3390
54	194	3342
55	195	3299
56	196	3256
57	197	3214
58	198	3172
59	199	3130
60	200	3087
61	201	3047
62	202	3006
63	202	2968
64	203	2931
65	204	2895
66	205	2859
67	206	2832
68	207	2800
69	208	2767
70	209	2735
71	209	2706
72	210	2675
73	211	2646
74	212	2618
75	213	2589
76	213	2562
77	214	2536
78	215	2511
79	216	2486
80	216	2462
81	217	2437
82	218	2410
83	218	2387
84	219	2364
85	221	2350
86	222	2330
87	222	2310
88	223	2291
89	224	2272
90	225	2252
91	226	2233
92	227	2214
93	227	2195
94	228	2178
95	229	2159
96	230	2142
97	230	2124
98	231	2108
99	232	2092
100	233	2076
101	234	2061
102	234	2045
103	235	2030
104	236	2017
105	237	2003
106	238	1990
107	239	1975
108	239	1961
109	240	1949
110	241	1935
111	242	1923
112	243	1909
113	243	1896
114	244	1883
115	245	1871
116	246	1857
117	246	1846
118	247	1834
119	248	1823
120	249	1812
121	250	1799
122	251	1791
123	252	1785
124	253	1774
125	254	1764
126	255	1753
127	256	1744
128	257	1735
129	257	1725
130	258	1715
131	259	1704
132	260	1695
133	260	1686
134	261	1676
135	262	1667
136	263	1658
137	264	1649
138	264	1640
139	266	1634
140	267	1627
141	267	1617
142	268	1610
143	269	1601
144	270	1593
145	271	1585
146	271	1576
147	272	1569
148	273	1561
149	274	1553
150	274	1545
151	275	1538
152	276	1530
153	277	1523
154	278	1515
155	278	1508
156	279	1501
157	280	1494
158	281	1487
159	282	1482
160	282	1474
161	283	1468
162	284	1461
163	285	1455
164	286	1449
165	287	1443
166	288	1437
167	289	1431
168	289	1425
169	290	1419
170	291	1413
171	292	1407
172	293	1401
173	294	1396
174	294	1390
175	295	1384
176	296	1378
177	297	1373
178	298	1369
179	299	1364
180	300	1358
181	301	1353
182	301	1347
183	302	1342
184	303	1336
185	304	1330
186	304	1325
187	305	1320
188	306	1314
189	307	1309
190	307	1304
191	308	1299
192	309	1293
193	310	1289
194	311	1284
195	312	1279
196	313	1276
197	313	1271
198	314	1266
199	315	1261
200	316	1257
201	317	1253
202	317	1248
203	318	1243
204	319	1239
205	320	1234
206	321	1229
207	321	1225
208	322	1220
209	323	1216
210	324	1211
211	324	1207
212	325	1203
213	326	1198
214	327	1194
215	328	1191
216	329	1187
217	330	1184
218	331	1180
219	331	1176
220	332	1172
221	333	1168
222	334	1164
223	335	1161
224	335	1157
225	336	1153
226	337	1149
227	338	1145
228	339	1141
229	339	1137
230	340	1134
231	341	1130
232	342	1127
233	343	1124
234	344	1121
235	345	1118
236	346	1115
237	347	1111
238	348	1108
239	348	1104
240	349	1101
241	350	1097
242	351	1093
243	351	1090
244	352	1086
245	353	1083
246	354	1079
247	354	1076
248	355	1073
249	356	1070
250	357	1067
251	358	1064
252	359	1061
253	360	1058
254	361	1055
255	361	1051
256	362	1048
257	363	1045
258	364	1042
259	365	1039
260	365	1035
261	366	1032
262	367	1029
263	368	1026
264	369	1023
265	370	1021
266	371	1018
267	371	1015
268	372	1012
269	373	1010
270	375	1009
271	376	1006
272	377	1004
273	377	1001
274	378	998
275	379	996
276	380	994
277	381	991
278	382	989
279	383	986
280	384	983
281	385	981
282	386	978
283	387	976
284	388	973
285	389	971
286	390	969
287	391	967
288	392	965
289	393	963
290	394	961
291	395	958
292	396	956
293	397	954
294	398	951
295	399	948
296	399	946
297	400	943
298	401	941
299	402	939
300	403	936
301	404	934
302	405	932
303	406	930
304	407	928
305	408	925
306	409	923
307	409	920
308	410	918
309	411	915
310	412	913
311	413	910
312	413	908
313	414	906
314	415	903
315	416	901
316	417	899
317	418	896
318	419	894
319	419	892
320	420	890
321	421	888
322	422	885
323	423	883
324	424	881
325	425	879
326	426	876
327	426	874
328	427	872
329	428	870
330	429	867
331	430	865
332	431	863
333	431	861
334	432	859
335	433	856
336	434	854
337	435	853
338	436	851
339	437	849
340	438	846
341	438	844
342	439	842
343	440	840
344	441	838
345	442	835
346	442	833
347	443	831
348	444	829
349	445	827
350	446	825
351	447	823
352	447	821
353	448	818
354	449	817
355	450	815
356	451	813
357	452	811
358	453	809
359	454	807
360	454	805
361	455	803
362	456	800
363	457	799
364	458	797
365	458	795
366	459	793
367	460	791
368	461	789
369	462	787
370	462	784
371	463	782
372	464	780
373	465	779
374	466	777
375	467	775
376	468	773
377	468	771
378	469	769
379	470	767
380	471	765
381	471	763
382	472	761
383	473	759
384	474	757
385	474	755
386	475	753
387	476	751
388	477	749
389	477	747
390	478	745
391	479	743
392	480	741
393	481	740
394	482	738
395	483	736
396	483	734
397	484	733
398	485	731
399	486	729
400	487	727
401	487	725
402	488	723
403	489	721
404	490	719
405	490	718
406	491	716
407	492	714
408	492	712
409	493	710
410	494	708
411	495	706
412	496	705
413	497	703
414	497	701
415	498	700
416	499	698
417	500	696
418	500	694
419	501	692
420	502	690
421	503	688
422	503	687
423	504	685
424	505	683
425	505	681
426	506	679
427	507	677
428	508	676
429	508	674
430	509	672
431	510	670
432	511	669
433	512	667
434	513	666
435	514	665
436	515	663
437	516	662
438	517	660
439	518	659
440	518	657
441	519	656
442	520	654
443	521	653
444	522	651
445	523	649
446	524	648
447	524	646
448	525	645
449	526	643
450	527	642
451	528	641
452	529	639
453	530	638
454	531	636
455	532	634
456	532	633
457	533	631
458	534	630
459	535	629
460	536	627
461	537	626
462	538	624
463	539	622
464	540	621
465	540	619
466	541	618
467	542	617
468	543	615
469	544	613
470	545	612
471	545	610
472	546	609
473	547	607
474	548	605
475	548	604
476	549	602
477	550	601
478	551	599
479	551	597
480	552	596
481	553	594
482	554	593
483	554	591
484	555	590
485	556	588
486	557	587
487	558	585
488	559	584
489	559	582
490	560	581
491	561	579
492	562	578
493	563	576
494	563	575
495	564	573
496	565	572
497	566	570
498	566	569
499	567	567
500	568	566
501	569	564
502	570	563
503	570	561
504	571	560
505	572	559
506	573	557
507	574	556
508	575	555
509	576	553
510	577	552
511	578	551
512	579	549
513	579	548
514	580	546
515	581	545
516	582	543
517	582	542
518	583	540
519	584	539
520	584	537
521	585	536
522	586	534
523	587	533
524	588	532
525	589	530
526	590	529
527	591	528
528	591	527
529	592	525
530	593	524
531	594	522
532	595	521
533	595	520
534	596	518
535	597	517
536	598	515
537	598	514
538	599	512
539	600	511
540	601	510
541	602	508
542	603	507
543	604	506
544	604	504
545	605	503
546	606	502
547	607	500
548	607	499
549	608	497
550	609	496
551	610	495
552	610	493
553	611	492
554	612	490
555	613	489
556	613	488
557	614	486
558	615	485
559	616	484
560	616	482
561	618	481
562	619	480
563	619	479
564	620	477
565	621	476
566	622	475
567	622	473
568	623	472
569	624	471
570	625	469
571	625	468
572	626	466
573	627	465
574	628	464
575	628	462
576	629	461
577	630	460
578	631	458
579	631	457
580	632	456
581	633	455
582	634	453
583	635	452
584	636	451
585	636	449
586	637	448
587	638	447
588	639	445
589	639	444
590	640	443
591	641	441
592	642	440
593	642	439
594	643	437
595	644	436
596	644	435
597	645	434
598	646	432
599	647	431
600	648	430
601	649	429
602	650	427
603	650	426
604	651	425
605	652	424
606	652	422
607	653	421
608	654	420
609	655	418
610	655	417
611	656	416
612	657	414
613	657	413
614	658	412
615	659	411
616	660	409
617	660	408
618	661	407
619	662	405
620	663	404
621	664	403
622	665	402
623	665	401
624	666	399
625	667	398
626	668	397
627	668	396
628	669	394
